Total Initial Energy: -1.467012648e+39
Total Current Energy: -1.454028105e+39
Energy Change: 0.008851009845%

Planetary positions:
Sun:       +111286.5723325539 -24715.58369538237
Mercury:   +15030405.20658087 +158729929.9477327
Venus:     +19982129.95963049 -142154918.3222812
Earth:     +123707068.9103138 +131326030.0947474
Mars:      -238702909.772443 +29097400.77968284
Jupiter:   +672482040.0414561 -394296952.2787867
Saturn:    +1401972221.271579 -303647778.4181325
Uranus:    +2862995271.265845 -214247698.9582011
Neptune:   +4491734685.27731 -170253618.1534151
Pluto:     +5898103623.602665 -147257534.712916
